;Lebewesen;Beruf;Kreativität und Intelligenz und andere Geisteskräfte;Liebe;Transzendenz-Sachen, von Einzelperson aus bei Sternpolygon, bei gleichförmiges Polygon von Strukturgröße aus;Primzahlkreuz von Leibnitz;Männer / Frauen (IMHO);evolutionär erwerben;Religionen
3|8|10;Mensch, Menschenaffe (nicht alle);;Intelligenz stark auf Objekte und Gegenstände bezogen;Objektliebe, Gegenstandsliebe;das existierende Ding, die existierende Sache;;;;
7;Hund, Wolf, Fuchs;Tischler;bloßes Verallgemeinern, ohne Sicherheit;;;;;;
6;Nilpferd;Kaufmann, Richter, Soziologe, Bänker;;;;;;;
5|9;Katze;;;jeden zum Fressen gern haben;das Allgemeine;;;Anmut;
5|9|13;;Arzt;;;;;;;
10;Rabe, Greifvogel, Esel, Fledermaus, Affen;M.I.N.T.: Mathematiker, Informatiker, Naturwissenschaftler, Techniker;;;;;;;
10|7;Delphin, Pferd, Pfau, (Möter, Wookiee);Philosoph, Laufsteg-Model, Architekt, Künstler, Schriftsteller, Musiker;mathematische Induktionsverfahren und aus der Informatik;Partnerschaftsliebe;Schönheit;;;;
11;Kanarienvogel;Systemtheoretiker, Darsteller;;;;;;;
2|4|7|14|15|18;Hundeaußerirdische;;;;;;;;
5|9|19;Katzenaußerirdische;;;;;;;;
5;Reptil;Lehrer, Professor;;;;;;;
3|6|10|12;Elefantenaußerirdische;;;;;;;;
7|9;Vielleicht Schafe, Ziegen, Kühe;Nicht kommerzielle Berufe / Vereine;;;Naivität, Konstruktivität, Unbescholtenheit;;;;
3;;Handwerker, Wissen-Verwalter;;;;;;;
8;;Kriegsherr, Pfandleihausbetreiber;;;;;;;
1;vielleicht Parasit;Zauberkünstler;;;;;;;
9;;Hase;;;;;;;
7|12;;;abstrakte Induktionsverfahren (meta-systemisch), die es erst in 1000 Jahren geben wird, höher als Mathematik, keine Mathematik;;;;;;
7|6;;;vollständige Abduktion, Weisheiten übergreifen können;;das Wohl;;;;
7|5;;;komplette Axiome;;Assent (Englisch, philosophisches Wort): Zulassung, Akzeptanz;5. das Gute für sich wollen (Selbstsucht), 7. das Gute geben wollen (Selbstlosigkeit) ;;;
7|9;;;vollständige Implikation, z.B. KI-Korrektheit und KI-Vollständigkeit;;;;;Liebreiz;
7|8;;;vollständige Deduktion;Situationsliebe;Realität;;;;
7|14;;;induktives Problemlösen in 2000 Jahren;;;;;;
7|8;;;die Realität verallgemeinern zu können;;;;;;
10|9;;;Vollkommenheit in der Wirklichkeit hinter der Realität;;Vollkommenheit;;;;
10|8;;;;Ideenliebe;Idee;;;;
5|6;;;;;das Besondere;;;;
5|11;;;;;das Sonderbare;;;;
10|5;;;;;die Ausnahme;;;;
6|8;;;;;Abgebrühtheit, Anti-naivität, Destruktivität;;;;
5|5;;;;;Einzigartigkeit;;;;
9|9;;;;;jegliches Alles;;;;
7|7;;;;;das Gute selbst;;;;
8|9;;;;;Phantasie;;;;
10|6;Elefant, Bär;;;;Wichtigkeit;;;;
9|6;;;;;Ausmessung, Vermessung;;;wahrscheinlich „gehoben“ sein;
10|7|8;;;;;Realismus bzw. Wirklichkeit;;;;
8|10|6;;;;;Welten;;;;
10|5|8;;;;;Eigenheit;;;;
10|8|9;;;;;Modelle;;;;
10|8|3|7;;;;;Tatsächlichkeit;;;;
10|6|5|5;;;;;die einzige, nicht nur das eine, aller wichtigste Sache, Ding, Lebewesen oder was es auch immer die einzige, nicht nur das eine, aller wichtigste Sache, Ding, Lebewesen oder was es auch immer ist, jedenfalls nur 1 ist es. Der monotheistische Gott selbst? (die 4 Buchstaben des jüdischen Gottes)?;;;;
14|15;;;Vollkommenheit in der Transzendenz (Transzendentalien, Strukturalien, Existenzialen, Universalien, usw.);;beliebig verzweigte Graph-Datenstruktur, Baumdatenstruktur;;;;
10|14;;;;;so genannte Prädikate aus der Prädikatenlogik und damit auch Relationen aus der Computerwissenschaft;;;;
10|14|15;;;;;kontextfreie Sprache und Grammatik, nicht deterministischer Kellerautomat, Negation (13) muss nicht gegeben sein, da es die Bedingung nicht gibt, dass bei Komplementbildung so genannte Abgeschlossenheit gelten müsse. ;;;;
10|14|15|13;;;;;die anderen 3 übrigen Grammatiken und Sprachen aus der Chomsky-Hierarchie, Turingmaschine, endlicher Automat, Negation (13) ist notwendig, da diese 3 Sachen bei Komplementbildung immer abgeschlossen sein müssen. Negation entspricht u.a. Komplementbildung. ;;;;
4;Faultier;;;;;;;;
11|13;;;;;;11. Fürsorge anwerben (so wie ein Kanarienvogel), 13. Fürsorge geben (als Helfer) ;;;
17|19;;;;;;17. Motivation nehmen (als jemand, der einen anderen abgeneigt ist), 19. Motivation geben (als Fan) ;;;
2|5|6|9|11|12|17|64;;;;;;;Frauen;;
1|3|7|8|10|14|16|32;;;;;;;Männer;;
11|7;;;Verallgemeinerungsfähigkeit über Systeme;;;;;;
10|3;Bonobos (Menschenaffen);;;;;;;;
-3|-6;;;;;;;;;Judentum
-7|-3;;;;;;;;;Christentum
+5|(-6)|(-7)|(-8)|+9;;;;;;;;;Bahai
6/8|+2|+4|+1/5|+1/6|+7|-10;;;;;;;;;Religion 10
3|10|14;;Ingenieur, Techniker;;;;;;;
11|12;;;Systeme übergreifen zu können;;;;;;
